model,fold,pinball,coverage,width,med_MAPE,pinball_%
lgbm,2021-01-01 00:00:00+00:00,224.59737893657044,82.70388615216201,32.055046858941374,8.9325683006594,3.1262806683039934
xgb,2021-01-01 00:00:00+00:00,225.0831066972579,82.48494800218938,32.18826098431918,8.935298758816067,3.136098061244587
vol_21d,2021-01-01 00:00:00+00:00,218.96486049793953,83.41543513957306,38.266465900675826,9.15924783176384,3.301926213500925
tree_blend,2021-01-01 00:00:00+00:00,224.48501179096525,82.37547892720306,31.79929301882195,8.923829445629567,3.1277978665569215
lgbm,2022-01-01 00:00:00+00:00,104.02856090128557,76.79255610290093,18.84370909286613,6.508855887748301,2.0961230980561
xgb,2022-01-01 00:00:00+00:00,103.33526607757047,76.40941434044882,18.593831646357525,6.508752621909555,2.090857576077945
vol_21d,2022-01-01 00:00:00+00:00,102.77539650768479,77.6135741652983,19.831761579532273,6.517459032910599,2.1146715165342105
tree_blend,2022-01-01 00:00:00+00:00,103.40602849563236,76.5736179529283,18.581169730387394,6.508835625764961,2.089496696265423
lgbm,2023-01-01 00:00:00+00:00,70.36038523094959,82.3076923076923,14.80977749914093,3.9851269470599853,1.522840535184402
xgb,2023-01-01 00:00:00+00:00,69.32395005049086,83.24175824175825,14.867758433956071,3.985439200552151,1.5181018275175364
vol_21d,2023-01-01 00:00:00+00:00,67.92543338603694,80.27472527472528,13.858684163695731,3.9768373563908868,1.5294602350327655
tree_blend,2023-01-01 00:00:00+00:00,69.40660890073399,83.24175824175825,14.876136810101872,3.9852445633216362,1.5186407065263756
lgbm,2024-01-01 00:00:00+00:00,195.7607684222802,73.43834872351984,14.763422222954253,5.1684826822636944,1.7987108703850994
xgb,2024-01-01 00:00:00+00:00,195.29326567097712,73.38403041825094,14.555213797737053,5.16823232179989,1.7928904134851993
vol_21d,2024-01-01 00:00:00+00:00,201.82029600426813,76.26290059750136,16.340392554706362,5.171463231144476,1.8177140284256075
tree_blend,2024-01-01 00:00:00+00:00,195.29326567097712,73.38403041825094,14.555213797737053,5.16823232179989,1.7928904134851993
lgbm,2025-01-01 00:00:00+00:00,227.3066263261702,77.85714285714286,16.241141116830597,4.853407106000325,1.6341916624368749
xgb,2025-01-01 00:00:00+00:00,227.80666883227786,77.41758241758242,16.043458390629343,4.8590188577272455,1.6286322599762209
vol_21d,2025-01-01 00:00:00+00:00,228.58414384624788,80.82417582417582,18.03471542154552,4.877766743665884,1.6711199779639654
tree_blend,2025-01-01 00:00:00+00:00,227.71602082808113,77.36263736263737,16.03791635805675,4.858906892601916,1.6284862439471668
lgbm,2026-01-01 00:00:00+00:00,199.0068424043293,81.63265306122449,14.503337907316302,4.3740592036892165,1.4067718925324544
xgb,2026-01-01 00:00:00+00:00,197.1651268845487,81.3265306122449,14.247674594421056,4.3733292668643005,1.4008259818351767
vol_21d,2026-01-01 00:00:00+00:00,201.20604919757503,77.14285714285715,13.960532021261358,4.373847036812542,1.4333801708398102
tree_blend,2026-01-01 00:00:00+00:00,197.34069999636736,81.53061224489797,14.300655460430628,4.373298967365686,1.4016358780172318
dlinear,2021-01-01 00:00:00+00:00,201.7150690760418,76.19047619047619,28.638160154327647,8.605482156164229,3.132750476161205
lstm,2021-01-01 00:00:00+00:00,201.4153115838217,79.6934865900383,27.989217814801464,8.586447514148263,3.057462668158069
dlinear,2022-01-01 00:00:00+00:00,100.03871527611307,82.43021346469622,20.13306852220273,6.5459924788990955,2.0294799666600825
lstm,2022-01-01 00:00:00+00:00,99.90767323623349,79.96715927750411,19.16289239224315,6.545286208763048,2.0317213326669794
dlinear,2023-01-01 00:00:00+00:00,71.21371519049228,86.92307692307692,15.97864668109036,4.01980703395122,1.511486809221299
lstm,2023-01-01 00:00:00+00:00,68.9400775662176,84.17582417582418,14.833899059611323,4.009691939399261,1.5051400100107724
dlinear,2024-01-01 00:00:00+00:00,194.0111226738829,73.54698533405758,14.428070824319478,5.168058898169812,1.7875332176212713
lstm,2024-01-01 00:00:00+00:00,196.0688656081287,76.31721890277024,15.2554325100588,5.1675997899452115,1.777711778236446
dlinear,2025-01-01 00:00:00+00:00,229.74439231849257,77.85714285714286,15.519102924196226,4.909838668648895,1.636826091098473
lstm,2025-01-01 00:00:00+00:00,228.29428822133204,78.73626373626374,16.182440951010715,4.912043000401138,1.6396275043174942
dlinear,2026-01-01 00:00:00+00:00,193.3789740646355,82.44897959183673,14.385327646512994,4.401315076024475,1.3840872870723941
lstm,2026-01-01 00:00:00+00:00,194.99543865534363,82.34693877551021,14.379316994802016,4.397541127908872,1.3929650410790093
