model,h,pinball,coverage,width,med_MAPE,pinball_%
lgbm,1,88.01748470430067,79.65397923875432,9.954364346227477,2.7538824412416436,0.9606370965294936
xgb,1,87.49746371185807,79.86159169550173,9.621248608145763,2.755808140180943,0.9487932498741217
vol_21d,1,86.72055252145951,81.66089965397923,9.97264772230887,2.7611954842732027,0.9523262969376084
tree_blend,1,87.49746371185807,79.86159169550173,9.621248608145763,2.755808140180943,0.9487932498741217
lgbm,2,125.52030598294893,80.89965397923875,14.038981056509042,4.076658163173239,1.4148548541445733
xgb,2,124.9876699457376,80.7612456747405,14.00426973955533,4.076610697550954,1.4096279380947179
vol_21d,2,124.33802266053253,80.13840830449827,14.334060241950391,4.097840454096842,1.4162804875646333
tree_blend,2,125.02210115296482,80.89965397923875,14.009308505877483,4.076619870893798,1.4097235358781566
lgbm,3,151.40411414784288,77.99307958477509,16.715829018905453,5.109501210428726,1.727875251456026
xgb,3,151.38285928313704,77.64705882352942,16.428558115965277,5.102902948402675,1.725771436271454
vol_21d,3,151.00461518668467,78.82352941176471,17.771064300663213,5.0987696144584165,1.755147160523091
tree_blend,3,151.37989943114255,77.64705882352942,16.428248383848633,5.102920299613804,1.7257403643265385
lgbm,4,179.39969062756904,76.60899653979239,18.757843097723587,6.085026636390077,2.0646276323559247
xgb,4,178.35988938475305,77.0242214532872,18.763239708604505,6.08095327408307,2.0584460385697234
vol_21d,4,179.39736309476788,78.13148788927336,21.16776724953742,6.100046121273223,2.109790982491432
tree_blend,4,178.64701699433996,77.0242214532872,18.846984665445554,6.084137582955662,2.0576341715728157
lgbm,5,191.265080792919,79.7923875432526,22.122240443446596,6.682758836177281,2.272607762114474
xgb,5,191.27805901116895,79.51557093425605,21.888870623632826,6.70382733449687,2.270551982730425
vol_21d,5,192.517365388657,80.13840830449827,24.375734693722485,6.777834326953777,2.3515581240027483
tree_blend,5,191.19222335471613,79.86159169550173,21.941089798330083,6.684749502515326,2.268200314198136
lgbm,6,201.94374797057276,78.96193771626298,24.321828973485925,7.305603491803232,2.5192744047171662
xgb,6,202.39685174531178,79.16955017301038,24.46519168442079,7.309150675194173,2.521449548878419
vol_21d,6,204.50010614959112,78.82352941176471,27.255754461318894,7.42120109150507,2.613422017472114
tree_blend,6,201.4348979646404,78.61591695501731,23.886088468257576,7.3080985511453544,2.515766408604022
lgbm,7,237.2425400225536,78.4083044982699,26.19786148352839,8.193744726982013,2.8651703674514675
xgb,7,236.1074628857685,77.92387543252595,26.1754502817228,8.187891514599844,2.8717436824334768
vol_21d,7,235.3627869495289,78.26989619377163,29.036765742630095,8.271664331990888,2.9691594529341843
tree_blend,7,236.27892666837693,78.13148788927336,26.145559709686673,8.190007525131536,2.8693548467720977
dlinear,1,85.71775825951788,80.83044982698962,9.23746530817132,2.76205686326088,0.9426873910218572
dlinear,2,124.19443317657226,80.48442906574394,13.220648141313577,4.077186662112715,1.3956204065289943
dlinear,3,148.31814663087349,79.30795847750865,16.60965278292205,5.082379418758521,1.7063296626497328
dlinear,4,173.61717965981362,79.44636678200692,19.551776081228525,6.029303059722783,2.041727269668102
dlinear,5,184.45930818048836,80.0,21.42333573903458,6.63960211998609,2.2562892407474786
dlinear,6,195.48691535238012,79.23875432525952,23.57353745099439,7.282228209968953,2.506892179655197
dlinear,7,227.12237715121978,78.4083044982699,25.858074845676377,8.10052016655512,2.85881280653707
lstm,1,85.05921789272422,82.69896193771626,9.068663361255206,2.7584918023508567,0.9240273648113532
lstm,2,121.72105146403635,80.62283737024222,12.77470884119047,4.071402138572426,1.3746849831440149
lstm,3,146.63969087998146,78.47750865051904,15.959583819655302,5.079057871412037,1.6928859902694078
lstm,4,172.89781386331455,78.4083044982699,18.859615709707715,6.031200259399256,2.0290993573870475
lstm,5,184.817074622378,80.55363321799308,21.351220179764045,6.639287030728212,2.239548941556139
lstm,6,197.16580982927294,80.2076124567474,23.680915022843617,7.273165036713763,2.4956786903119554
lstm,7,229.09861512745024,79.16955017301038,26.17631456975448,8.082604594965675,2.8491190805308335
