model,fold,regime,pinball,coverage,width,med_MAPE,pinball_%
lgbm,2021-01-01 00:00:00+00:00,low,420.34184328197307,79.47454844006569,21.623206985295884,6.4804098287086624,2.1518132222813224
lgbm,2021-01-01 00:00:00+00:00,medium,219.4032392467725,87.02791461412151,33.975575019985506,8.555989919012843,3.0264854521215803
lgbm,2021-01-01 00:00:00+00:00,high,34.04705428096583,81.60919540229885,40.56635857154273,11.761305154256698,4.200543330509076
xgb,2021-01-01 00:00:00+00:00,low,420.16331861514465,79.3103448275862,21.59183453972559,6.47458298624912,2.1544967923822185
xgb,2021-01-01 00:00:00+00:00,medium,221.13313022146022,87.02791461412151,34.16435294330088,8.55501928654634,3.0515381515507545
xgb,2021-01-01 00:00:00+00:00,high,33.95287125516879,81.11658456486043,40.80859546993106,11.776294003652747,4.202259239800787
vol_21d,2021-01-01 00:00:00+00:00,low,406.3890926900746,77.83251231527095,21.007535542877324,6.34492715701926,2.1336814589578204
vol_21d,2021-01-01 00:00:00+00:00,medium,214.10239156585385,83.74384236453201,31.462149104790083,8.597001156891892,3.0331399479415344
vol_21d,2021-01-01 00:00:00+00:00,high,36.40309723789013,88.66995073891626,62.32971305436009,12.53581518138037,4.738957233603417
tree_blend,2021-01-01 00:00:00+00:00,low,419.8781714613872,79.3103448275862,21.531986132408008,6.479673796817171,2.150551038053051
tree_blend,2021-01-01 00:00:00+00:00,medium,219.73023683806494,87.52052545155993,33.8227842609385,8.543758861248001,3.0361789744732546
tree_blend,2021-01-01 00:00:00+00:00,high,33.84662707344362,80.29556650246306,40.043108663119355,11.748055678823524,4.19666358714446
lgbm,2022-01-01 00:00:00+00:00,low,172.41506204344387,70.93596059113301,13.984495583325668,5.500781580904562,1.7972502413454117
lgbm,2022-01-01 00:00:00+00:00,medium,106.21329660140343,68.96551724137932,16.672933615996584,8.06932636508422,2.546057551762294
lgbm,2022-01-01 00:00:00+00:00,high,33.457324059009416,90.47619047619048,25.873698079276146,5.956459717256118,1.9450615010605938
xgb,2022-01-01 00:00:00+00:00,low,171.24411512699695,71.10016420361248,13.514609179859091,5.499829523701591,1.793165298082781
xgb,2022-01-01 00:00:00+00:00,medium,104.8375773571526,68.30870279146141,16.521319882237158,8.071060431008329,2.5397319478432783
xgb,2022-01-01 00:00:00+00:00,high,33.9241057485619,89.81937602627258,25.745565876976332,5.9553679110187465,1.9396754823077764
vol_21d,2022-01-01 00:00:00+00:00,low,169.92610289899213,65.35303776683087,11.82114196094305,5.499410205840957,1.8233354379969022
vol_21d,2022-01-01 00:00:00+00:00,medium,103.40440846231058,74.71264367816092,18.326084140045428,8.076357551833441,2.4973444320883926
vol_21d,2022-01-01 00:00:00+00:00,high,34.995678161751684,92.77504105090311,29.348058637608336,5.976609341057401,2.0233346795173364
tree_blend,2022-01-01 00:00:00+00:00,low,171.11924388533836,71.26436781609196,13.58907346503034,5.499944829159017,1.7921104630634046
tree_blend,2022-01-01 00:00:00+00:00,medium,105.31119420745178,68.4729064039409,16.51660441907687,8.071096100151316,2.5396768553879494
tree_blend,2022-01-01 00:00:00+00:00,high,33.787647394106955,89.98357963875205,25.63783130705498,5.955465947984551,1.9367027703449156
lgbm,2023-01-01 00:00:00+00:00,medium,89.43888762859086,81.72757475083057,13.068678241986245,3.5145572019195943,1.2361997588698204
lgbm,2023-01-01 00:00:00+00:00,low,95.12288158265812,82.92282430213464,12.390010168761437,3.6331795964015456,1.4728167939771903
lgbm,2023-01-01 00:00:00+00:00,high,26.73867961260717,82.26600985221675,18.950631451535408,4.802235195213524,1.8562103311393616
xgb,2023-01-01 00:00:00+00:00,medium,87.38652630760622,82.05980066445183,12.99106971335223,3.5138549037565574,1.2227098629303057
xgb,2023-01-01 00:00:00+00:00,low,94.33232695830304,83.08702791461413,12.454696525437479,3.6349491701679155,1.4722891778746008
xgb,2023-01-01 00:00:00+00:00,high,26.46061270461064,84.56486042692939,19.13593792835892,4.8020930185734105,1.8559111318099186
vol_21d,2023-01-01 00:00:00+00:00,medium,83.17939454136717,82.39202657807309,11.988746432926032,3.5125142979215034,1.1853239567868603
vol_21d,2023-01-01 00:00:00+00:00,low,93.57544376855508,70.60755336617406,7.900328897928826,3.6117122199794363,1.501986070570819
vol_21d,2023-01-01 00:00:00+00:00,high,27.196794735031457,87.84893267651888,21.665483623097057,4.800948504622649,1.897115088335492
tree_blend,2023-01-01 00:00:00+00:00,medium,87.60176409828874,82.05980066445183,13.008965138522226,3.513693722625207,1.2240236381955625
tree_blend,2023-01-01 00:00:00+00:00,low,94.35795619703113,83.2512315270936,12.467720340922611,3.6348387586092072,1.4720096844751376
tree_blend,2023-01-01 00:00:00+00:00,high,26.469246121796477,84.40065681444992,19.130263207509284,4.801781084124787,1.8565023938241645
lgbm,2024-01-01 00:00:00+00:00,medium,192.09754864123911,71.10016420361248,13.17574317569157,4.852201315789333,1.6060219710337178
lgbm,2024-01-01 00:00:00+00:00,low,328.34968198093406,72.40259740259741,12.114756479430214,4.521676134816969,1.5657904661593696
lgbm,2024-01-01 00:00:00+00:00,high,66.79344714715553,76.78571428571429,18.98172520638572,6.1279764897475735,2.222130527378672
xgb,2024-01-01 00:00:00+00:00,medium,190.6873195296059,71.75697865353038,13.05674675064049,4.851586289491372,1.6044869065030756
xgb,2024-01-01 00:00:00+00:00,low,328.39406737345394,72.07792207792207,11.891889061242034,4.521497457921178,1.55818620266716
xgb,2024-01-01 00:00:00+00:00,high,66.74606981281039,76.2987012987013,18.69997754670254,6.128014967619973,2.2138571823423834
vol_21d,2024-01-01 00:00:00+00:00,medium,193.19687349422694,78.65353037766832,15.098394780111496,4.854796139203315,1.6174095989568156
vol_21d,2024-01-01 00:00:00+00:00,low,339.17196898457524,65.42207792207793,10.195423636504195,4.52511510276636,1.5755649954593947
vol_21d,2024-01-01 00:00:00+00:00,high,72.99405209638809,84.74025974025975,23.713245636428457,6.130879961782601,2.2578913041621034
tree_blend,2024-01-01 00:00:00+00:00,medium,190.6873195296059,71.75697865353038,13.05674675064049,4.851586289491372,1.6044869065030756
tree_blend,2024-01-01 00:00:00+00:00,low,328.39406737345394,72.07792207792207,11.891889061242034,4.521497457921178,1.55818620266716
tree_blend,2024-01-01 00:00:00+00:00,high,66.74606981281039,76.2987012987013,18.69997754670254,6.128014967619973,2.2138571823423834
lgbm,2025-01-01 00:00:00+00:00,low,542.8159869824093,81.2807881773399,11.837235233768487,3.386061195993044,1.1691135479979595
lgbm,2025-01-01 00:00:00+00:00,medium,104.72436070801616,70.09966777408638,15.799360177374375,5.714529423373404,1.8937246690888934
lgbm,2025-01-01 00:00:00+00:00,high,32.97053972925582,82.10180623973727,21.08174999751609,5.4695286563054815,1.8427199082312669
xgb,2025-01-01 00:00:00+00:00,low,546.4785465147698,80.95238095238095,11.605464272154746,3.3892286742531392,1.1710154984183792
xgb,2025-01-01 00:00:00+00:00,medium,102.96341970678851,70.59800664451828,15.604204476099854,5.720588015633076,1.8836876232090751
xgb,2025-01-01 00:00:00+00:00,high,32.543060400269525,80.623973727422,20.915657528064127,5.4771429770645526,1.8341253291429649
vol_21d,2025-01-01 00:00:00+00:00,low,543.0517685675887,77.17569786535303,10.400666584433294,3.3833224996803275,1.1780194541110585
vol_21d,2025-01-01 00:00:00+00:00,medium,104.80923817958522,76.24584717607974,16.932301390222293,5.740284833207848,1.8972534747977314
vol_21d,2025-01-01 00:00:00+00:00,high,36.468724726435575,88.99835796387521,26.75850686433358,5.5196068991386955,1.9406862405788965
tree_blend,2025-01-01 00:00:00+00:00,low,546.1970019734202,80.78817733990148,11.601828982160828,3.3891484389190354,1.1708771783377674
tree_blend,2025-01-01 00:00:00+00:00,medium,102.95163645480068,70.59800664451828,15.606108221419932,5.72039868194242,1.8836528501224798
tree_blend,2025-01-01 00:00:00+00:00,high,32.5653506724216,80.623973727422,20.90084855867412,5.477075761419473,1.8338616528775207
lgbm,2026-01-01 00:00:00+00:00,low,280.47900916745175,78.72340425531915,11.14874876354534,4.101315346888029,1.3747139719741275
lgbm,2026-01-01 00:00:00+00:00,high,57.69200022744328,86.62613981762918,18.36301063376714,4.554017637325727,1.4494615928484373
lgbm,2026-01-01 00:00:00+00:00,medium,260.150445544479,79.5031055900621,13.987274246752076,4.468861701270517,1.395908987127893
xgb,2026-01-01 00:00:00+00:00,low,276.81742803986003,76.89969604863222,10.830712065078597,4.1009934297046895,1.3629203823292548
xgb,2026-01-01 00:00:00+00:00,high,57.43137460214822,87.53799392097264,17.98978547041487,4.552460847515462,1.4427569929290702
xgb,2026-01-01 00:00:00+00:00,medium,258.5526965144006,79.5031055900621,13.915457805451192,4.468559702862061,1.3967130612996403
vol_21d,2026-01-01 00:00:00+00:00,low,282.30365749259744,66.56534954407294,8.188090044379287,4.100075669788992,1.3641377535012387
vol_21d,2026-01-01 00:00:00+00:00,high,69.77717700248301,89.36170212765957,21.16699334046242,4.553691935558563,1.5468905468498932
vol_21d,2026-01-01 00:00:00+00:00,medium,252.63147100851572,75.46583850931677,12.495338345413701,4.469815384835236,1.3881498652406576
tree_blend,2026-01-01 00:00:00+00:00,low,277.38148536527126,77.50759878419453,10.915307601406205,4.100956732629352,1.365160947905852
tree_blend,2026-01-01 00:00:00+00:00,high,57.37521353897088,87.53799392097264,18.07056918487897,4.552376938102656,1.4435100197236506
tree_blend,2026-01-01 00:00:00+00:00,medium,258.5681119780881,79.5031055900621,13.907729467497493,4.468590715365039,1.3961192922570833
dlinear,2021-01-01 00:00:00+00:00,low,379.5396869552442,74.05582922824301,18.378758138828463,6.286036974192966,2.112713718674169
dlinear,2021-01-01 00:00:00+00:00,medium,199.40097930679926,73.39901477832512,22.803587845882443,8.301809094209988,2.957320035594168
dlinear,2021-01-01 00:00:00+00:00,high,26.204540966081975,81.11658456486043,44.73213447827204,11.228600400089737,4.328217674215277
lstm,2021-01-01 00:00:00+00:00,low,380.05516960416367,77.66830870279146,20.077160338444934,6.259413742304126,2.093731242388451
