model,asset,pinball,coverage,width,med_MAPE,pinball_%
lgbm,BNB,7.03054180997827,85.6154226396441,17.364574417722753,4.545647926244519,1.4769779474948217
lgbm,BTC,781.604809642956,78.39841819080573,15.34042393891073,4.3826911826333985,1.3873321048035259
lgbm,ETH,47.546550339869164,76.12456747404845,18.427402003455633,5.675868697374828,1.8977172677520815
lgbm,SOL,2.242041369701696,77.55808205635195,23.46069225516682,7.519756308340288,2.291223197084948
lgbm,XRP,0.024842583071945937,76.52001977261493,20.033506807768113,6.592877853305088,2.331475658530419
xgb,BNB,6.9788847659926505,85.31883341571923,17.261184527236477,4.555827842350452,1.466125823026798
xgb,BTC,777.1206563183428,78.89273356401384,15.099128777242447,4.3875500240190854,1.3793728269263348
xgb,ETH,47.3551895054224,76.71774592189817,18.296775464247915,5.6753681610757525,1.8900795157531407
xgb,SOL,2.2346722700050177,76.56945130993574,23.204807683205335,7.530600498198417,2.283692447476654
xgb,XRP,0.024851858418543312,76.66831438457736,20.01330462968742,6.611628451917893,2.3323461495237905
vol_21d,BNB,7.301480045603391,83.73702422145328,18.319874283945804,4.615615159936146,1.5338967184753896
vol_21d,BTC,781.3502834178812,77.06376668314384,14.328283971387402,4.349504494697544,1.3868803261051297
vol_21d,ETH,49.015424552950925,77.805239742956,19.50655793384585,5.723713359866776,1.9563441910177133
vol_21d,SOL,2.2725288526458285,80.77113198220465,27.584885820957382,7.625018436781901,2.3223794590015703
vol_21d,XRP,0.0261715459062786,77.21206129510628,23.564848879126924,6.713997062178775,2.456198779727795
tree_blend,BNB,6.988657764028697,85.21997034107761,17.22764988674821,4.553114053169354,1.46817893685078
tree_blend,BTC,777.5494348994571,78.6950074147306,15.097440075120359,4.387950991439498,1.3801338998932524
tree_blend,ETH,47.410906534406934,76.47058823529412,18.22825258777061,5.674961087979515,1.8923033399266291
tree_blend,SOL,2.2376196533508943,76.8166089965398,23.19166757772495,7.52900128554157,2.286704485159827
tree_blend,XRP,0.024819797716030222,76.27286208601087,19.92104385382699,6.6097003071852996,2.3293372535773353
dlinear,BNB,6.985692688792362,84.7256549678695,16.789199596430986,4.546909491255597,1.4675560331180246
dlinear,BTC,760.0240064182395,83.39100346020761,15.4015293136852,4.3212233824417705,1.349026632790408
dlinear,ETH,47.13454604460727,77.55808205635195,17.714668202722745,5.672149003555364,1.88127301133563
dlinear,SOL,2.228284628408233,75.77854671280276,22.967479010923128,7.543451369410908,2.27716468541169
dlinear,XRP,0.02488435862684672,77.31092436974791,20.38945147086447,6.529265342413051,2.335396293075172
lstm,BNB,6.933836325070942,86.30746416213543,16.705453693677512,4.525789312843311,1.4566620355110258
lstm,BTC,758.6201095130735,80.12852199703411,14.436072817254603,4.316375174436614,1.346534745299003
lstm,ETH,47.108919359733555,77.50865051903114,17.799364992094663,5.663229298056606,1.8802501778797336
lstm,SOL,2.206412241706006,78.15126050420169,22.949037203200064,7.543472075140302,2.2548125020554917
lstm,XRP,0.024637626302640398,77.21206129510628,19.74502264418005,6.519322686212573,2.3122404720241283
