model,fold,pinball,coverage,width,med_MAPE,pinball_%
lgbm,2021-01-01 00:00:00+00:00,227.04307580461295,83.6343732895457,33.15263951340501,8.946907972792028,2.248652404941724
xgb,2021-01-01 00:00:00+00:00,225.0485129398177,83.9080459770115,32.92946978676024,8.987554092602814,2.2288980981132305
vol_21d,2021-01-01 00:00:00+00:00,222.3718292409532,83.47016967706622,39.70631025602355,9.263814981865066,2.2023880131199327
tree_blend,2021-01-01 00:00:00+00:00,225.32930375132773,83.79857690202518,32.86555133616861,8.982104721779303,2.231679072302159
lgbm,2022-01-01 00:00:00+00:00,103.21688181799226,77.72304324028461,18.752896817296314,6.472822723075579,1.687935094465107
xgb,2022-01-01 00:00:00+00:00,102.31167377205237,77.55883962780514,18.780155080187974,6.47467602175646,1.6731319692241373
vol_21d,2022-01-01 00:00:00+00:00,102.0944469749499,78.32512315270937,19.777627003643502,6.473698188387004,1.6695795974819443
tree_blend,2022-01-01 00:00:00+00:00,102.31351103382313,77.6135741652983,18.70752131236774,6.474821644103314,1.6731620144896593
lgbm,2023-01-01 00:00:00+00:00,68.5100495876214,81.7032967032967,14.368116012865439,3.9752855875182473,1.1163451375927749
xgb,2023-01-01 00:00:00+00:00,67.58986304386671,81.15384615384616,14.05054984101135,3.974829009142089,1.1013510486965896
vol_21d,2023-01-01 00:00:00+00:00,66.7875153438543,79.45054945054945,13.154240134651785,3.972384556110361,1.088277098831438
tree_blend,2023-01-01 00:00:00+00:00,67.60505889907816,81.0989010989011,14.060626380640187,3.974852467680216,1.101598659363623
lgbm,2024-01-01 00:00:00+00:00,195.42425200980276,71.97175448126019,14.41280383545288,5.1677900814248785,1.386215741876958
xgb,2024-01-01 00:00:00+00:00,194.3629693505445,73.16675719717544,14.580782979804512,5.168046377076822,1.378687675561161
vol_21d,2024-01-01 00:00:00+00:00,201.75621432786093,76.42585551330798,16.37684714782802,5.171701695556989,1.4311306680030342
tree_blend,2024-01-01 00:00:00+00:00,194.6567412861904,72.35198261814232,14.41772559048014,5.167624902900262,1.3807715074168592
lgbm,2025-01-01 00:00:00+00:00,228.77256376394612,78.51648351648352,16.688764591948015,4.8822165005940255,1.0830053952383105
xgb,2025-01-01 00:00:00+00:00,228.94455170965048,77.74725274725274,16.25645252709786,4.88865578117519,1.0838195832250568
vol_21d,2025-01-01 00:00:00+00:00,229.03612127326076,80.38461538461539,18.014357119315527,4.907445118812425,1.0842530719695023
tree_blend,2025-01-01 00:00:00+00:00,228.7877499942583,77.85714285714286,16.296346373260796,4.887428284205776,1.0830772865922857
lgbm,2026-01-01 00:00:00+00:00,195.88423136418695,80.20408163265306,13.817042035466386,4.375273448408411,1.2783108543646187
xgb,2026-01-01 00:00:00+00:00,194.90001504749026,80.10204081632652,13.708246306554258,4.375553328670255,1.2718880076050088
vol_21d,2026-01-01 00:00:00+00:00,200.63152693502448,76.63265306122449,13.705232830812436,4.3760287253076156,1.3092909869399465
tree_blend,2026-01-01 00:00:00+00:00,195.11055600063878,80.20408163265306,13.744592092755086,4.375572758340103,1.273261966008009
dlinear,2021-01-01 00:00:00+00:00,204.0030119000447,77.504105090312,30.041801733206036,8.654320784160825,2.020461807516926
lstm,2021-01-01 00:00:00+00:00,203.77815571891543,80.95238095238095,29.16264106946756,8.621728410760682,2.018234814288128
dlinear,2022-01-01 00:00:00+00:00,99.93946113567591,81.99233716475096,19.864838107510185,6.532134601182957,1.6343384996874957
lstm,2022-01-01 00:00:00+00:00,99.8676958005308,79.52928297755884,18.8616981226194,6.528412604965466,1.6331649007022921
dlinear,2023-01-01 00:00:00+00:00,71.0720825333975,86.5934065934066,15.806007521287377,4.022481170768815,1.1580924876324459
lstm,2023-01-01 00:00:00+00:00,69.06575063117671,83.79120879120879,14.659834431107651,4.012859568449464,1.125400074228528
dlinear,2024-01-01 00:00:00+00:00,193.84297745987817,73.2753938077132,14.279504109096283,5.16785708592493,1.3749991827713621
lstm,2024-01-01 00:00:00+00:00,195.88020635535796,75.55676262900597,15.040172828246353,5.167513619712328,1.3894499929224944
dlinear,2025-01-01 00:00:00+00:00,230.79404467962294,78.13186813186813,15.561271477118376,4.932722857408594,1.0925750512408907
lstm,2025-01-01 00:00:00+00:00,228.74091024250205,78.95604395604396,16.237540640272158,4.93185938417281,1.0828555480103992
dlinear,2026-01-01 00:00:00+00:00,193.885507688718,82.24489795918367,14.401268258159394,4.414230541028956,1.265267486088194
lstm,2026-01-01 00:00:00+00:00,195.0467722060727,80.91836734693878,13.99475313389537,4.409547680161288,1.272845722615886
