model,fold,regime,pinball,coverage,width,med_MAPE,pinball_%
lgbm,2021-01-01 00:00:00+00:00,low,422.98332148154986,80.29556650246306,22.560629526356408,6.49253086869576,2.042643084716453
lgbm,2021-01-01 00:00:00+00:00,medium,224.307086144712,88.3415435139573,35.88196289093974,8.589187004656837,2.664149080781411
lgbm,2021-01-01 00:00:00+00:00,high,33.838819787576945,82.26600985221675,41.01532612291891,11.759006045023485,2.9085132361826638
xgb,2021-01-01 00:00:00+00:00,low,420.1553800596594,80.95238095238095,22.400451000604278,6.520098209295959,2.028986577010251
xgb,2021-01-01 00:00:00+00:00,medium,219.63243639190577,88.3415435139573,35.104928679294424,8.597988284452647,2.6086271440652475
xgb,2021-01-01 00:00:00+00:00,high,35.357722367888066,82.43021346469622,41.28302968038201,11.844575784059835,3.03906590578046
vol_21d,2021-01-01 00:00:00+00:00,low,412.6434020130925,78.32512315270937,21.628938288545545,6.374248633764366,1.992710229385913
vol_21d,2021-01-01 00:00:00+00:00,medium,216.9005326377828,83.74384236453201,32.4808421604249,8.677573868893036,2.576179667704048
vol_21d,2021-01-01 00:00:00+00:00,high,37.57155307198418,88.3415435139573,65.00915031910023,12.7396224429378,3.229349016892243
tree_blend,2021-01-01 00:00:00+00:00,low,420.45801231663904,81.11658456486043,22.337975385800036,6.517037513540716,2.030448028692947
tree_blend,2021-01-01 00:00:00+00:00,medium,220.32721643922778,87.84893267651888,35.15482150049416,8.596942349786834,2.616879213387855
tree_blend,2021-01-01 00:00:00+00:00,high,35.202682498116324,82.43021346469622,41.10385712221165,11.832334302010356,3.0257399234856317
lgbm,2022-01-01 00:00:00+00:00,low,169.08838486427715,73.23481116584564,14.087843147087206,5.47890514438997,1.6730855008535925
lgbm,2022-01-01 00:00:00+00:00,medium,106.91361179550593,68.30870279146141,16.58404163193531,8.023532574583916,1.780902386442714
lgbm,2022-01-01 00:00:00+00:00,high,33.64864879419367,91.62561576354679,25.58680567286642,5.916030450252849,1.505385341488308
xgb,2022-01-01 00:00:00+00:00,low,169.02896011665118,72.74220032840722,14.016631262844761,5.478744930025989,1.672497508462958
xgb,2022-01-01 00:00:00+00:00,medium,104.52954122928027,69.12972085385879,17.04053457079596,8.025782821946638,1.7411899785506297
xgb,2022-01-01 00:00:00+00:00,high,33.37651997022564,90.80459770114942,25.283299406923206,5.919500313296756,1.4932107443713916
